sale_id,sale_date,product_id,customer_id,total,rating
2609,09/01/23,24,1,500,5
2716,09/04/23,24,1,500,4
3025,09/14/23,24,1,500,5
3581,10/02/23,4,1,600,5
4504,11/04/23,5,1,450,4
5079,11/23/23,8,1,750,5
5452,12/05/23,9,1,700,4
6630,01/15/24,4,1,600,5
7322,02/10/24,1,1,350,4
7357,02/11/24,1,1,350,4
9069,04/24/24,4,1,600,4
10138,09/03/24,2,1,900,5
10349,09/27/24,3,1,250,5
375,02/06/23,11,1,550,4
484,02/16/23,3,1,250,4
734,03/08/23,26,1,900,5
1787,06/11/23,13,1,450,4
1896,06/24/23,21,1,650,4
2207,07/23/23,22,1,400,5
2352,08/07/23,24,1,500,4
2430,08/14/23,24,1,500,5
3038,09/15/23,22,1,400,4
3052,09/15/23,24,1,500,4
3082,09/16/23,23,1,250,4
3444,09/28/23,21,1,650,4
5913,12/22/23,14,1,320,4
6428,01/08/24,14,1,320,5
135,01/16/23,7,1,1500,5
158,01/18/23,3,1,250,4
193,01/21/23,24,1,500,4
1217,04/23/23,1,1,350,4
1302,04/30/23,13,1,450,4
1490,05/16/23,2,1,900,5
1813,06/14/23,19,1,300,4
1825,06/15/23,17,1,600,5
1830,06/16/23,1,1,350,4
2155,07/20/23,2,1,900,4
4975,11/19/23,8,1,750,5
2107,07/16/23,2,1,900,5
766,03/11/23,11,1,550,4
1150,04/15/23,23,1,250,4
1661,06/01/23,14,1,320,4
6687,01/17/24,4,1,600,5
6921,01/26/24,2,1,900,5
7933,03/01/24,2,1,900,5
9853,07/29/24,1,1,350,5
4888,11/17/23,1,1,350,5
9432,06/01/24,1,1,350,5
404,02/09/23,13,2,450,5
546,02/22/23,15,2,350,4
748,03/10/23,3,2,250,4
1475,05/14/23,18,2,450,4
2323,08/03/23,24,2,500,4
2569,08/28/23,24,2,500,4
4698,11/10/23,10,2,1800,4
5657,12/13/23,1,2,350,4
6316,01/04/24,14,2,320,5
6829,01/23/24,1,2,350,4
7168,02/04/24,4,2,600,4
9499,06/11/24,4,2,600,5
9760,07/16/24,1,2,350,4
9815,07/23/24,3,2,250,5
789,03/13/23,13,2,450,5
1874,06/21/23,25,2,600,5
3168,09/19/23,22,2,400,5
3760,10/07/23,10,2,1800,4
6385,01/06/24,14,2,320,5
7926,03/01/24,2,2,900,5
8708,03/26/24,2,2,900,5
8905,04/05/24,2,2,900,5
9673,07/03/24,4,2,600,5
918,03/26/23,23,2,250,4
1209,04/22/23,14,2,320,5
2717,09/04/23,24,2,500,5
6632,01/15/24,4,2,600,5
7653,02/21/24,1,2,350,4
10057,08/22/24,2,2,900,4
7120,02/02/24,4,2,600,5
7091,02/01/24,3,2,250,5
8361,03/14/24,3,2,250,5
929,03/27/23,28,3,300,4
2490,08/20/23,24,3,500,5
2619,09/01/23,24,3,500,5
4498,11/04/23,2,3,900,4
5014,11/21/23,3,3,250,5
5982,12/24/23,14,3,320,4
6638,01/16/24,1,3,350,5
10211,09/12/24,2,3,900,4
55,01/06/23,23,3,250,5
413,02/09/23,27,3,200,4
636,03/01/23,20,3,800,4
1583,05/24/23,15,3,350,5
1940,06/30/23,20,3,800,5
2330,08/04/23,24,3,500,5
5484,12/07/23,4,3,600,5
6689,01/18/24,1,3,350,5
655,03/02/23,22,3,400,4
2250,07/27/23,14,3,320,4
2372,08/09/23,24,3,500,5
2817,09/07/23,24,3,500,4
2880,09/09/23,24,3,500,4
3137,09/18/23,23,3,250,4
4516,11/04/23,10,3,1800,4
5579,12/10/23,2,3,900,5
9914,08/05/24,2,3,900,4
10056,08/22/24,1,3,350,5
3322,09/23/23,24,3,500,4
6574,01/13/24,3,3,250,5
6793,01/21/24,2,3,900,5
8528,03/19/24,4,3,600,5
668,03/03/23,20,3,800,4
3302,09/23/23,22,3,400,4
8786,03/29/24,1,3,350,5
1928,06/29/23,2,3,900,4
2900,09/10/23,22,3,400,5
821,03/16/23,4,4,600,5
1466,05/13/23,25,4,600,4
4385,10/31/23,9,4,700,5
6211,01/01/24,14,4,320,5
6891,01/25/24,2,4,900,4
8056,03/04/24,1,4,350,5
9208,05/08/24,2,4,900,5
10118,08/30/24,3,4,250,5
73,01/09/23,17,4,600,4
2426,08/14/23,24,4,500,5
3949,10/14/23,8,4,750,4
4638,11/08/23,9,4,700,4
5509,12/08/23,1,4,350,5
5705,12/15/23,2,4,900,4
10132,09/01/24,4,4,600,4
151,01/17/23,17,4,600,4
2238,07/26/23,14,4,320,5
2298,08/01/23,8,4,750,4
3522,09/30/23,23,4,250,5
3923,10/14/23,1,4,350,4
8268,03/11/24,2,4,900,5
733,03/08/23,25,4,600,4
7283,02/08/24,3,4,250,4
9166,05/04/24,3,4,250,4
7953,03/01/24,4,4,600,4
7118,02/02/24,4,4,600,5
9419,05/30/24,3,4,250,5
778,03/12/23,11,5,550,4
1780,06/11/23,1,5,350,4
2014,07/06/23,19,5,300,4
2411,08/12/23,24,5,500,4
3412,09/27/23,21,5,650,5
3691,10/05/23,10,5,1800,4
4861,11/15/23,9,5,700,4
5023,11/21/23,7,5,1500,5
5709,12/15/23,5,5,450,4
6897,01/25/24,3,5,250,4
7723,02/23/24,3,5,250,4
7996,03/02/24,2,5,900,5
8143,03/06/24,3,5,250,4
8980,04/15/24,2,5,900,4
9299,05/16/24,4,5,600,4
885,03/22/23,25,5,600,4
1233,04/24/23,3,5,250,5
3306,09/23/23,22,5,400,4
3865,10/12/23,1,5,350,5
4382,10/31/23,6,5,1200,5
4816,11/14/23,7,5,1500,4
5194,11/27/23,10,5,1800,5
6406,01/07/24,14,5,320,4
6810,01/22/24,1,5,350,4
9433,06/01/24,2,5,900,4
10199,09/10/24,1,5,350,5
2820,09/08/23,21,5,650,4
5919,12/22/23,14,5,320,5
8043,03/03/24,3,5,250,4
8503,03/19/24,1,5,350,5
2462,08/17/23,24,5,500,4
7675,02/21/24,4,5,600,4
8728,03/27/24,2,5,900,5
2793,09/07/23,22,5,400,5
4135,10/22/23,3,5,250,4
4694,11/10/23,9,5,700,5
1541,05/20/23,27,5,200,5
3209,09/20/23,22,5,400,5
6974,01/28/24,2,5,900,5
7044,01/30/24,4,5,600,4
28,01/03/23,25,6,600,4
251,01/26/23,17,6,600,5
601,02/26/23,20,6,800,4
1198,04/21/23,15,6,350,4
1819,06/15/23,3,6,250,5
1999,07/05/23,8,6,750,5
2648,09/02/23,24,6,500,4
2834,09/08/23,22,6,400,4
5923,12/22/23,14,6,320,4
6512,01/11/24,3,6,250,5
6564,01/13/24,2,6,900,4
7175,02/05/24,1,6,350,5
8327,03/13/24,2,6,900,5
8331,03/13/24,3,6,250,4
9845,07/27/24,4,6,600,5
144,01/16/23,24,6,500,5
1167,04/18/23,1,6,350,5
3088,09/16/23,24,6,500,4
3429,09/27/23,23,6,250,4
4271,10/27/23,4,6,600,4
7583,02/18/24,2,6,900,4
7819,02/26/24,4,6,600,5
8265,03/11/24,1,6,350,4
1441,05/11/23,10,6,1800,4
2351,08/07/23,24,6,500,5
2804,09/07/23,24,6,500,4
3793,10/09/23,6,6,1200,4
10237,09/14/24,1,6,350,4
1871,06/21/23,22,6,400,4
3519,09/30/23,23,6,250,4
900,03/24/23,19,6,300,4
3878,10/12/23,5,6,450,4
5791,12/18/23,4,6,600,5
7290,02/08/24,4,6,600,4
8401,03/15/24,4,6,600,4
9280,05/15/24,2,6,900,4
9477,06/08/24,3,6,250,5
475,02/15/23,23,7,250,4
1644,05/30/23,24,7,500,5
1991,07/04/23,14,7,320,4
3114,09/17/23,24,7,500,5
3530,09/30/23,24,7,500,5
3920,10/13/23,11,7,550,5
4419,11/01/23,10,7,1800,5
4553,11/05/23,8,7,750,4
4908,11/17/23,11,7,550,5
5186,11/27/23,9,7,700,5
5481,12/07/23,4,7,600,5
5653,12/12/23,11,7,550,5
10284,09/20/24,2,7,900,5
525,02/20/23,22,7,400,4
1444,05/11/23,27,7,200,4
4227,10/25/23,4,7,600,5
4579,11/06/23,7,7,1500,4
6149,12/29/23,14,7,320,4
6913,01/26/24,1,7,350,4
8711,03/26/24,3,7,250,5
1072,04/09/23,2,7,900,4
2136,07/18/23,7,7,1500,5
2649,09/02/23,24,7,500,4
4037,10/18/23,5,7,450,5
4724,11/11/23,9,7,700,4
9638,06/29/24,4,7,600,5
9698,07/07/24,3,7,250,4
1619,05/28/23,11,7,550,5
2962,09/12/23,21,7,650,5
2991,09/13/23,22,7,400,4
4670,11/09/23,9,7,700,5
468,02/15/23,8,7,750,4
1828,06/15/23,27,7,200,4
1891,06/23/23,22,7,400,4
3012,09/14/23,22,7,400,4
10275,09/19/24,2,7,900,4
1908,06/26/23,25,7,600,4
3659,10/04/23,9,7,700,5
3845,10/11/23,4,7,600,4
639,03/01/23,26,8,900,5
1206,04/22/23,6,8,1200,4
1493,05/16/23,15,8,350,4
4868,11/16/23,3,8,250,4
5978,12/24/23,14,8,320,4
8289,03/12/24,1,8,350,4
8309,03/12/24,3,8,250,5
8959,04/13/24,1,8,350,4
426,02/11/23,8,8,750,5
699,03/05/23,17,8,600,4
1704,06/04/23,13,8,450,4
3299,09/23/23,21,8,650,4
4242,10/26/23,2,8,900,5
4528,11/05/23,2,8,900,4
5216,11/28/23,10,8,1800,4
6623,01/15/24,3,8,250,4
7185,02/05/24,2,8,900,5
1092,04/10/23,2,8,900,5
4723,11/11/23,9,8,700,5
4881,11/16/23,7,8,1500,4
4919,11/18/23,3,8,250,5
5659,12/13/23,2,8,900,4
7040,01/30/24,3,8,250,4
8122,03/05/24,4,8,600,4
8433,03/16/24,4,8,600,5
1653,06/01/23,1,8,350,4
2660,09/02/23,24,8,500,4
3734,10/07/23,3,8,250,4
6525,01/12/24,2,8,900,4
8529,03/19/24,4,8,600,5
37,01/04/23,25,8,600,4
7326,02/10/24,1,8,350,5
71,01/09/23,2,9,900,4
2064,07/11/23,17,9,600,4
2283,07/30/23,21,9,650,4
4089,10/20/23,4,9,600,5
5761,12/17/23,4,9,600,4
5877,12/20/23,14,9,320,4
5914,12/22/23,14,9,320,4
6391,01/07/24,14,9,320,5
6780,01/21/24,1,9,350,5
7738,02/24/24,1,9,350,5
9574,06/22/24,1,9,350,4
10233,09/13/24,4,9,600,4
50,01/06/23,12,9,300,5
307,01/31/23,1,9,350,4
1152,04/15/23,28,9,300,5
1611,05/27/23,11,9,550,4
1696,06/04/23,5,9,450,4
2058,07/11/23,1,9,350,4
3304,09/23/23,22,9,400,5
5096,11/24/23,4,9,600,5
5160,11/26/23,11,9,550,4
5707,12/15/23,4,9,600,4
5920,12/22/23,14,9,320,5
6164,12/30/23,14,9,320,4
8530,03/19/24,4,9,600,4
9674,07/03/24,4,9,600,5
9775,07/18/24,3,9,250,5
756,03/10/23,22,9,400,5
1373,05/05/23,26,9,900,5
1381,05/06/23,12,9,300,5
4457,11/02/23,10,9,1800,5
5350,12/02/23,3,9,250,4
2368,08/08/23,24,9,500,5
3183,09/19/23,24,9,500,4
3500,09/29/23,24,9,500,5
7689,02/22/24,2,9,900,5
9407,05/29/24,2,9,900,4
10311,09/23/24,3,9,250,5
4964,11/19/23,5,9,450,5
7563,02/17/24,4,9,600,4
127,01/15/23,19,9,300,4
383,02/07/23,4,9,600,5
519,02/20/23,11,9,550,4
2996,09/13/23,23,9,250,5
3182,09/19/23,23,9,250,4
3927,10/14/23,2,9,900,4
6890,01/25/24,2,9,900,4
7342,02/10/24,3,9,250,5
51,01/06/23,13,10,450,4
2224,07/25/23,7,10,1500,5
3067,09/16/23,21,10,650,5
3926,10/14/23,2,10,900,4
4302,10/28/23,1,10,350,4
4598,11/07/23,5,10,450,5
8138,03/06/24,2,10,900,5
10243,09/14/24,3,10,250,5
187,01/20/23,26,10,900,4
990,04/02/23,1,10,350,4
1464,05/13/23,19,10,300,4
1754,06/08/23,17,10,600,5
2332,08/04/23,24,10,500,4
3165,09/19/23,21,10,650,5
3501,09/29/23,24,10,500,5
3528,09/30/23,24,10,500,4
4066,10/19/23,4,10,600,4
4304,10/28/23,3,10,250,4
5117,11/25/23,3,10,250,5
6477,01/10/24,14,10,320,4
7442,02/13/24,2,10,900,5
